Title,Release Year,Genre,IMDB Rating
The Corruptor,1999,Action,5.8
The Matrix,1999,Action,8.7
Election,1999,Black Comedy,7.4
The Mummy,1999,Adventure,6.8
Tarzan,1999,Adventure,6.9
Deep Blue Sea,1999,Action,5.6
Runaway Bride,1999,Romantic Comedy,5.2
The Iron Giant,1999,Adventure,7.9
The 13th Warrior,1999,Action,6.3
Stigmata,1999,Horror,6.0
Blue Streak,1999,Action,5.9
Double Jeopardy,1999,Action,6.0
Three Kings,1999,Action,7.3
The Story of Us,1999,Romantic Comedy,5.6
Bringing Out The Dead,1999,Black Comedy,6.8
The Best Man,1999,Romantic Comedy,6.1
Being John Malkovich,1999,Black Comedy,7.9
House on Haunted Hill,1999,Horror,5.2
The World is Not Enough,1999,Action,6.3
Sleepy Hollow,1999,Horror,7.5
Toy Story 2,1999,Adventure,8.0
End of Days,1999,Action,5.4
Scream 3,2000,Horror,5.3
Pitch Black,2000,Horror,7.0
Mission to Mars,2000,Adventure,5.1
Final Destination,2000,Horror,6.8
Romeo Must Die,2000,Action,5.9
The Road to El Dorado,2000,Adventure,6.4
U-571,2000,Action,6.4
Gladiator,2000,Action,8.3
Shanghai Noon,2000,Western,6.6
Shaft,2000,Action,5.9
Titan A.E.,2000,Adventure,6.4
Chicken Run,2000,Adventure,7.3
"Me, Myself & Irene",2000,Romantic Comedy,6.9
X-Men,2000,Action,7.4
Hollow Man,2000,Horror,5.5
Space Cowboys,2000,Adventure,6.3
The Original Kings of Comedy,2000,Concert,6.2
Nurse Betty,2000,Black Comedy,6.4
Charlie's Angels,2000,Adventure,5.5
The 6th Day,2000,Action,5.8
Proof of Life,2000,Action,6.1
Vertical Limit,2000,Action,5.6
The Emperor's New Groove,2000,Adventure,7.4
What Women Want,2000,Romantic Comedy,6.3
Hannibal,2001,Horror,6.4
The Mexican,2001,Action,5.9
Exit Wounds,2001,Action,5.2
Someone Like You,2001,Romantic Comedy,5.8
Spy Kids,2001,Adventure,5.7
The Mummy Returns,2001,Adventure,6.2
Shrek,2001,Adventure,8.0
Pearl Harbor,2001,Action,5.4
Swordfish,2001,Action,6.3
The Fast and the Furious,2001,Action,6.0
Kiss of the Dragon,2001,Action,6.3
Planet of the Apes,2001,Adventure,5.5
Rush Hour 2,2001,Action,6.4
Serendipity,2001,Romantic Comedy,6.6
"Monsters, Inc.",2001,Adventure,7.4
The One,2001,Action,5.6
Shallow Hal,2001,Romantic Comedy,6.0
Spy Game,2001,Action,6.9
The Royal Tenenbaums,2001,Black Comedy,7.6
Black Hawk Down,2001,Action,7.7
40 Days and 40 Nights,2002,Romantic Comedy,5.4
Ice Age,2002,Adventure,7.4
Resident Evil,2002,Horror,6.4
Clockstoppers,2002,Adventure,5.0
My Big Fat Greek Wedding,2002,Romantic Comedy,6.6
The Scorpion King,2002,Action,5.3
Spider-Man,2002,Adventure,7.4
About a Boy,2002,Romantic Comedy,7.4
The Sum of All Fears,2002,Action,6.3
Bad Company,2002,Action,5.3
The Bourne Identity,2002,Action,7.7
Windtalkers,2002,Action,5.8
Minority Report,2002,Action,7.7
K-19: The Widowmaker,2002,Action,6.5
xXx,2002,Action,5.5
The Transporter,2002,Action,6.6
The Ring,2002,Horror,5.5
I Spy,2002,Action,5.3
Harry Potter and the Chamber of Secrets,2002,Adventure,7.2
Die Another Day,2002,Action,6.0
Chicago,2002,Musical,7.2
Just Married,2003,Romantic Comedy,5.1
Final Destination 2,2003,Horror,6.4
How to Lose a Guy in 10 Days,2003,Romantic Comedy,6.1
Shanghai Knights,2003,Adventure,6.2
Daredevil,2003,Action,5.5
Cradle 2 the Grave,2003,Horror,5.4
Tears of the Sun,2003,Action,6.4
The Hunted,2003,Action,5.8
The Core,2003,Action,5.3
A Man Apart,2003,Action,5.7
The Matrix Reloaded,2003,Action,7.1
Finding Nemo,2003,Adventure,8.2
The Italian Job,2003,Adventure,6.9
2 Fast 2 Furious,2003,Action,5.1
Hollywood Homicide,2003,Action,5.2
Hulk,2003,Action,5.7
28 Days Later...,2003,Horror,7.6
The League of Extraordinary Gentlemen,2003,Adventure,5.5
Bad Boys II,2003,Action,6.2
Freddy vs. Jason,2003,Horror,5.8
Open Range,2003,Western,7.5
Once Upon a Time in Mexico,2003,Action,6.2
Underworld,2003,Action,6.7
Kill Bill: Volume 1,2003,Action,8.2
Intolerable Cruelty,2003,Romantic Comedy,6.4
The Matrix Revolutions,2003,Action,6.5
Master and Commander: The Far Side of the World,2003,Adventure,7.5
The Missing,2003,Western,7.4
The Last Samurai,2003,Action,7.8
Something's Gotta Give,2003,Romantic Comedy,6.8
Peter Pan,2003,Adventure,7.1
50 First Dates,2004,Romantic Comedy,6.8
Hidalgo,2004,Western,6.6
Dawn of the Dead,2004,Horror,7.4
Hellboy,2004,Action,6.8
Walking Tall,2004,Action,6.0
Van Helsing,2004,Action,5.5
Troy,2004,Action,7.0
Shrek 2,2004,Adventure,7.5
The Day After Tomorrow,2004,Adventure,6.3
Harry Potter and the Prisoner of Azkaban,2004,Adventure,7.7
The Chronicles of Riddick,2004,Adventure,6.4
Around the World in 80 Days,2004,Adventure,5.6
Fahrenheit 9/11,2004,Documentary,7.6
Spider-Man 2,2004,Adventure,7.7
King Arthur,2004,Adventure,6.2
The Bourne Supremacy,2004,Action,7.6
Collateral,2004,Action,7.8
Ladder 49,2004,Action,6.5
Shark Tale,2004,Adventure,5.9
The Incredibles,2004,Adventure,8.1
The Polar Express,2004,Adventure,6.7
After the Sunset,2004,Action,6.2
National Treasure,2004,Adventure,6.9
Alexander,2004,Adventure,5.4
Ocean's Twelve,2004,Adventure,6.0
The Phantom of the Opera,2004,Musical,7.2
Hitch,2005,Romantic Comedy,5.7
Constantine,2005,Action,6.7
Robots,2005,Adventure,6.4
Sin City,2005,Action,8.3
Madagascar,2005,Adventure,6.6
Batman Begins,2005,Action,8.3
Fantastic Four,2005,Action,5.7
Serenity,2005,Action,8.0
Wallace & Gromit: The Curse of the Were-Rabbit,2005,Adventure,7.9
Domino,2005,Action,5.9
Saw II,2005,Horror,6.8
The Legend of Zorro,2005,Adventure,5.7
Chicken Little,2005,Adventure,5.8
Harry Potter and the Goblet of Fire,2005,Adventure,7.6
King Kong,2005,Adventure,7.6
Superman Returns,2006,Adventure,6.6
Pirates of the Caribbean: Dead Man's Chest,2006,Adventure,7.3
Miami Vice,2006,Action,6.0
Saw III,2006,Horror,6.3
Happy Feet,2006,Adventure,6.7
Casino Royale,2006,Action,8.0
Apocalypto,2006,Adventure,7.9
Blood Diamond,2006,Action,8.0
The Holiday,2006,Romantic Comedy,6.9
Dreamgirls,2006,Musical,6.6
Ghost Rider,2007,Action,5.2
300,2007,Action,7.8
I Think I Love My Wife,2007,Romantic Comedy,5.5
The Reaping,2007,Horror,5.6
Spider-Man 3,2007,Adventure,6.4
Pirates of the Caribbean: At World's End,2007,Adventure,7.0
Knocked Up,2007,Romantic Comedy,7.5
Ocean's Thirteen,2007,Adventure,6.9
You Kill Me,2007,Black Comedy,6.7
Live Free or Die Hard,2007,Action,7.5
License to Wed,2007,Romantic Comedy,5.1
Transformers,2007,Action,7.3
Harry Potter and the Order of the Phoenix,2007,Adventure,7.4
Hairspray,2007,Musical,7.2
The Bourne Ultimatum,2007,Action,8.2
Rush Hour 3,2007,Action,6.0
Stardust,2007,Adventure,7.9
3:10 to Yuma,2007,Western,7.9
Resident Evil: Extinction,2007,Action,6.2
The Kingdom,2007,Action,7.1
Beowulf,2007,Adventure,6.6
Enchanted,2007,Romantic Comedy,7.5
The Mist,2007,Horror,7.4
I am Legend,2007,Horror,7.1
